category,subcategory,keywords,description,primary_response_team,supporting_response_teams,default_severity,requires_evacuation,affected_infrastructure,dummy_primary_contact_number,dummy_support_contact_number,follow_up_questions,immediate_actions,escalation_triggers,max_followup_questions,cascade_to
Structural Collapse or Severe Fire,Partial Building Collapse,"collapse, partial collapse, building fell, structure collapsed, wall fell, ceiling down, floor collapsed, rubble, debris, building damage, structural failure, sinkhole under building, foundation failure",Part of a residential commercial or public structure has collapsed,Fire and Rescue; Urban Search and Rescue (USAR),Ambulance/EMS; Police; Building Safety Authority; Gas and Electric Utility,Critical,Yes,Building,+1-202-555-0101,+1-202-555-0102,Is anyone trapped under rubble? | Which part of the building collapsed (wall/floor/ceiling)? | Is the rest of the structure still standing? | Are there gas or electrical lines exposed?,Evacuate the building immediately | Do not re-enter | Call Fire and Rescue | Keep people away from the collapse zone | Shut off gas if safe to do so,"trapped, buried, rubble, people inside, workers inside, residents inside",2,
Structural Collapse or Severe Fire,Full Building Collapse,"full collapse, total collapse, building destroyed, entire building down, complete collapse, building gone, mass collapse, multi-floor collapse, catastrophic structural failure, building imploded",Complete or near-complete collapse with possible trapped people,Fire and Rescue; Urban Search and Rescue (USAR),Ambulance/EMS; Police; Disaster Management Authority; Building Safety Authority,Critical,Yes,Building; Roads,+1-202-555-0101,+1-202-555-0102,Are there people confirmed trapped? | How many floors did the building have? | Is the collapse still ongoing? | Are there gas leaks or fires visible?,Call emergency services immediately | Evacuate the entire area | Do not attempt rescue without USAR team | Mark last known positions of trapped people,"trapped, buried, people inside, multiple, many, casualties, dead, dying",1,Gas Main Rupture; Mass Casualty Event
Structural Collapse or Severe Fire,High-Rise Fire,"high rise fire, skyscraper fire, tall building fire, apartment fire, multi-storey fire, upper floor fire, tower fire, condo fire, office building fire, fire on floor, smoke from building, building on fire",Active fire in a multi-storey residential or commercial building,Fire and Rescue,Ambulance/EMS; Police; Building Safety Authority; Gas and Electric Utility,Critical,Yes,Building; Electricity; Gas,+1-202-555-0101,+1-202-555-0102,Which floor is the fire on? | Are people trapped above the fire? | Is the stairwell accessible? | Is the fire spreading to other floors?,Do not use elevators | Evacuate via stairwell below the fire floor | Close doors to slow fire spread | Call Fire and Rescue | Move to roof only as last resort,"trapped, people inside, multiple floors, spreading, casualties",2,
Structural Collapse or Severe Fire,Residential Fire,"house fire, home fire, flat fire, apartment fire, residential fire, dwelling fire, fire at home, kitchen fire, bedroom fire, fire in house, burning house, smoke at home",Active fire in a residential property including houses flats or apartments,Fire and Rescue,Ambulance/EMS; Police; Gas Utility; Electric Utility,High,Yes,Building; Gas; Electricity,+1-202-555-0101,+1-202-555-0102,"Is anyone still inside the building? | Is the fire in the kitchen, bedroom, or elsewhere? | Is the gas supply on? | Can you safely exit?",Evacuate immediately | Close doors behind you | Call fire services | Do not go back inside | Meet at a safe distance outside,"trapped, inside, child, baby, elderly, unconscious, not moving",2,
Structural Collapse or Severe Fire,Industrial or Warehouse Fire,"factory fire, warehouse fire, industrial fire, plant fire, storage fire, manufacturing fire, depot fire, logistics fire, chemical plant fire, refinery fire, mill fire",Active fire at a factory warehouse or industrial site,Fire and Rescue; Industrial Emergency Team,Ambulance/EMS; Police; HAZMAT Team; Environmental Authority,Critical,Yes,Building; Roads; Air Quality,+1-202-555-0101,+1-202-555-0201,Are hazardous chemicals stored on site? | Are workers unaccounted for? | Is the fire near fuel or gas storage? | Has the site been evacuated?,Trigger site evacuation alarm | Call Fire and HAZMAT | Keep all personnel upwind | Do not attempt to fight chemical fires | Secure site perimeter,"workers trapped, chemical, explosion, casualties, multiple injured",2,Toxic Gas Leak; Corrosive Chemical Spill
Structural Collapse or Severe Fire,Gas or Electrical Fire,"gas fire, electrical fire, wiring fire, short circuit fire, gas leak fire, sparks fire, electrical fault fire, fuse box fire, meter fire, gas explosion fire, power line fire",Fire caused or worsened by a gas leak electrical fault or exposed wiring,Fire and Rescue,Gas Utility; Electric Utility; Ambulance/EMS; Police,Critical,Yes,Gas; Electricity; Building,+1-202-555-0101,+1-202-555-0401,Is the gas supply still on? | Is the electrical panel accessible to shut off? | Is the fire spreading? | Are there sparks or arcing wires visible?,Do not use water on electrical fire | Shut off gas at the meter if safe | Evacuate and call Fire services | Do not touch exposed wiring,"explosion, spreading fast, multiple rooms, casualties",2,Gas Main Rupture
Structural Collapse or Severe Fire,Wildfire or Vegetation Fire,"wildfire, bushfire, forest fire, grass fire, vegetation fire, scrub fire, brush fire, field fire, fire spreading, out of control fire, fire near homes, ember attack",Uncontrolled fire spreading through vegetation or approaching built-up areas,Fire and Rescue; Forestry Fire Service,Ambulance/EMS; Police; Disaster Management; Environmental Authority,Critical,Yes,Building; Roads; Air Quality; Power Lines,+1-202-555-0101,+1-202-555-0301,How close is the fire to homes or buildings? | Which direction is the wind blowing? | Is the road out still clear? | Are there people who cannot evacuate?,Evacuate immediately if ordered | Close all windows and doors | Move to a cleared area or road | Do not shelter in a vehicle in the fire path,"surrounded, cut off, cannot evacuate, people trapped, spreading fast, homes burning",2,
Structural Collapse or Severe Fire,Explosion,"explosion, blast, detonation, bomb, gas explosion, boiler explosion, pressure explosion, building exploded, loud blast, explosion heard, explosion felt, structural explosion",Explosion inside or near a building causing structural damage or casualties,Fire and Rescue; Police Bomb Squad,Ambulance/EMS; HAZMAT Team; USAR; Disaster Management,Critical,Yes,Building; Gas; Electricity; Roads,+1-202-555-0101,+1-202-555-0601,Was the explosion inside a building or outside? | Are there secondary fires or gas leaks? | Are people injured or trapped? | Was it a gas explosion or suspected device?,Move away from the blast area | Do not re-enter the building | Call emergency services | Watch for secondary explosions | Do not use mobile phones near gas leaks,"casualties, injured, trapped, multiple, dead, dying, bomb, device",1,Mass Casualty Event; Toxic Gas Leak
Hazardous Chemical Leak or Toxic Gas Release,Toxic Gas Leak,"toxic gas, gas leak, poisonous gas, chemical gas, fumes, noxious smell, gas cloud, gas exposure, chlorine leak, ammonia leak, hydrogen sulfide, gas smell, breathing difficulty from gas",Release of harmful gas from an industrial domestic or transport source,Fire HAZMAT Unit,Ambulance/EMS; Decontamination Team; Police; Environmental Authority; Gas Utility,Critical,Yes,Air Quality; Building; Roads,+1-202-555-0201,+1-202-555-0202,"What is the source of the gas (industrial, domestic, vehicle)? | Can you smell or see the gas? | Are people showing symptoms (dizziness, breathing difficulty)? | Is the area evacuated?",Move upwind immediately | Do not breathe the fumes | Call HAZMAT and emergency services | Cover mouth and nose | Do not use open flames or switches,"unconscious, not breathing, symptoms, exposed, multiple people, casualties, collapsed",2,
Hazardous Chemical Leak or Toxic Gas Release,Flammable Vapour Leak,"flammable gas, vapour leak, explosive gas, gas ignition risk, petrol vapour, fuel vapour, LPG leak, propane leak, butane leak, natural gas leak, combustible gas, gas smell outside",Release of vapour that may ignite or explode,Fire HAZMAT Unit,Police; Ambulance/EMS; Gas Utility; Industrial Emergency Team,Critical,Yes,Air Quality; Gas; Roads,+1-202-555-0201,+1-202-555-0401,"What is the source (LPG, petrol, natural gas)? | Is there an ignition source nearby? | How large is the affected area? | Is the leak still ongoing?",Evacuate and keep away from ignition sources | Do not switch on/off any electrical devices | Call Gas Utility and Fire services | Ventilate if safe to do so,"ignition, fire, explosion, spreading, large area",2,Gas or Electrical Fire
